﻿Año,Tasa_Acti,Tasa_Pas,TPM,IPC,TDC
2005M05,19.05,10.96,7,157.2,18.86
2005M06,19.07,10.95,7,158.3,18.86
2005M07,18.8,10.9,7,159.7,18.87
2005M08,18.49,10.89,7,161,18.87
2005M09,18.48,10.84,7,161.6,18.89
2005M10,18.39,10.83,7,161.7,18.9
2005M11,18.64,10.81,7,162,18.9
2005M12,18.36,10.77,7,162.7,18.9
2006M01,18.39,10.72,7,163.3,18.9
2006M02,18.42,10.65,7,164.44,18.9
2006M03,18.22,10.54,6.75,164.8,18.9
2006M04,18.01,10.24,6.5,165.7,18.9
2006M05,17.65,9.8,6.5,166.8,18.9
2006M06,17.6,9.4,6.5,167.3,18.9
2006M07,17.25,9.09,6.5,168.2,18.9
2006M08,17.07,8.73,6.5,168.8,18.9
2006M09,16.92,8.46,6,168.8,18.9
2006M10,16.72,8.2,6,169,18.9
2006M11,16.39,8.11,6,169.9,18.9
2006M12,16.6,8.04,6,171.3,18.9
2007M01,17.16,7.96,6,172.4,18.9
2007M02,17,7.83,6,173.98,18.9
2007M03,16.94,7.72,6,175.2,18.9
2007M04,16.74,7.64,6,176.2,18.9
2007M05,16.7,7.6,6,176.9,18.9
2007M06,16.6,7.56,6,177.6,18.9
2007M07,16.42,7.64,6,178.8,18.9
2007M08,16.24,7.7,6.25,180.1,18.9
2007M09,16.27,7.79,6.25,180.8,18.9
2007M10,16.28,7.87,6.75,183,18.9
2007M11,16.35,7.97,7,186.2,18.9
2007M12,16.46,8.07,7.5,186.5,18.9
2008M01,16.4,8.18,7.5,187.7,18.9
2008M02,16.67,8.36,7.75,189.7,18.9
2008M03,16.75,8.49,7.75,191.4,18.9
2008M04,16.94,8.68,7.75,193.3,18.97
2008M05,17.04,8.83,8,196.8,18.92
2008M06,17.3,8.97,8.5,199.2,18.9
2008M07,17.69,9.2,9,203.4,18.9
2008M08,18.58,9.6,9,205.3,18.9
2008M09,18.95,10.03,9,205.6,18.9
2008M10,19.26,10.61,9,206.9,18.9
2008M11,19.66,11.13,9,206.5,18.9
2008M12,20.04,11.85,7.75,206.7,18.9
2009M01,19.58,12.17,6.75,206.6,18.9
2009M02,19.94,12.17,6.75,208.2,18.9
2009M03,20.06,11.91,5.75,208.2,18.9
2009M04,19.94,11.28,4.5,208.9,18.9
